Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40189879,"The Traitor Baru Cormorant (The Masquerade, #1)",Seth Dickinson,"Dickinson, Seth",,,,0,4.06,Tor Books,Kindle Edition,401,2015,2015,2/10/23,1/1/23,sapphic-fantasy,sapphic-fantasy (#6),read,this is the work of a genius. review to come.,,,1,0
55545191,So This Is Ever After,F.T. Lukens,"Lukens, F.T.",,,,4,3.99,Margaret K. McElderry Books,Kindle Edition,352,2022,2022,2/5/23,2/5/23,,,read,,,,1,0
60114057,"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,"Armas, Elena",,1668002779,9781668002773,4,3.91,Atria Books,Paperback,400,2022,2022,1/26/23,1/26/23,,,read,"The American Roommate Experiment (TARE) is forced proximity at its best. That’s sort of a low bar, though, because forced proximity is normally kinda creepy. This novel by Elena Armas tells the story of Rosie, an ex-engineer turned published romance author. After the roof of her apartment caves in, Rosie moves into her best friend Catalina’s apartment while she’s away on her honeymoon. Unfortunately, Catalina had promised her apartment to a cousin from Spain named Lucas, who Rosie had been online stalking for MONTHS, hoping they would meet at Catalina’s wedding. When he didn’t show up, her hopes of a meet-cute were dashed. This couple gets a re-do, however, cause being strapped for cash forces people to do crazy things, like sharing a studio apartment with a stranger. (The finances part is relatable. I’d share a place with a cute guy if it meant I wasn’t out thousands of $$$ while my place is being renovated.)<br/><br/>TARE was fun. I liked both of the main characters, which is pretty rare for romance. Lucas is sweet and flirty, the perfect opposite to Rosie’s Type A personality. It’s dual POV, though I think that Rosie gets quite a few more chapters, and I wish it was a little bit more equal. We hear a lot about Rosie’s family. Her brother is being distant, possibly getting into a bad situation, and her dad’s health is sort of on the decline. I never formed an emotional connection with either of these characters, so the family subplot wasn’t super interesting. It’s obviously just a mechanism for Rosie to be emotionally vulnerable in front of Lucas. And, even though I said that I like Rosie, her “ultra-responsible” persona got old quick. Without a mom, she grew up being the maternal presence in her family. I’m sure this is the reality for many women, but I like to read about women who subvert expectations. Since Lucas is sunshine, I thought Rosie was going to be grumpy—and she is, but not in an interesting way. I want to read about women who know what they want and take it. Let’s represent angry women in romance :)<br/><br/>Also, there are two scenes in which Rosie holds Lucas back from physical confrontation in her defense. I don’t like this. My biggest ick is when a brute force male jumps into a scene.<br/><br/>3.5 stars",,,1,0
13231279,Darkroom: A Memoir in Black and White,Lila Quintero Weaver,"Weaver, Lila Quintero",,0817357149,9780817357146,4,4.04,University Alabama Press,Paperback,264,2012,2012,1/21/23,1/5/23,for-school,for-school (#1),read,,,,1,0
55004138,"Hang the Moon (Written in the Stars, #2)",Alexandria Bellefleur,"Bellefleur, Alexandria",,0063000849,9780063000841,3,3.85,Avon,Paperback,384,2021,2021,1/21/23,1/21/23,,,read,,,,1,0
57190453,"Foul Lady Fortune (Foul Lady Fortune, #1)",Chloe Gong,"Gong, Chloe",,,,4,4.37,Margaret K. McElderry Books,Kindle Edition,528,2022,2022,1/19/23,12/11/22,,,read,,,,2,0
40183309,Standard Deviation,Katherine Heiny,"Heiny, Katherine",,,,3,3.58,HarperCollins,Paperback,336,2018,2017,1/15/23,1/13/23,,,read,,,,1,0
39325105,"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,"Muir, Tamsyn",,1250313228,9781250313225,4,4.3,Tor.com,Hardcover,510,2020,2020,1/11/23,12/9/20,,,read,,,,1,0
59449896,"A Light in the Flame (Flesh and Fire, #2)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,9781957568201,3,4.54,Blue Box Press,Hardcover,650,2022,2022,1/6/23,5/27/22,,,read,"“Gods, I wanted to hate how he curled his tongue around my name, making it sound like both a wicked whisper and a reverent prayer.”<br/><br/>SPOILERS<br/><br/>Before moving on to my review of A Light in the Flame, I’ll just say that I very much enjoyed this second installment in the Flesh and Fire series—but that didn’t stop me from getting fiercely irritated whenever I noticed editing problems. For example, the quote pulled from above is slightly over halfway through the novel, but in the very first chapter, the MC (Sera) thinks something VERY similar: “I could count on one hand how many people called me by my full name, and none of them spoke it like he did. As if it were a prayer and a reckoning.” Like, please, let’s not repeat ourselves. <br/><br/>Sera is just not the brightest MC. We’re reading from her POV, but it takes her forever to understand something that the readers have known for hundreds of pages. For example, Nyktos (the God of Death and her love interest) prevented himself from loving others not for his own benefit, but for the good of others. She realized long after he spelled it out for her, word for word, the reasons why he removed his kardia (the part of the soul that allows people to love). Girl. Also, when thinking about the God of Life’s court, Armentrout describes it as “a game where the rules were kept hidden.” But we were already aware of this comparison because just a couple chapters beforehand, the character Aios said that “his court is lawless and yet full of unknown rules that, if broken, result in death.” One other editing thing: at some point, Sera says that it had been so long since she’d seen the sun, but actually, she had visited the mortal realm just two days prior. ???<br/><br/>Thinking more structurally, this book is like a reread of Blood and Ash, with slightly different plot points. @MaePolzine does a great job at summarizing the similarities in her blog post, so I won’t repeat them. This didn’t necessarily bother me because it felt somewhat intentional, but I do think that Armentrout went a little far with it. <br/><br/>The dialogue was at times cringy and other times very funny. For some reason, modern slang is thrown in here, which sort of pulled me out of the reading experience. Sera says “you do you,” and Nektas says she’ll give off some Primal “vibes” if she drinks enough of Nyktos’s blood. (I won’t even explain Primal—if you’re still reading this, I’m assuming you’re familiar with the book.) Nyktos “growls” with displeasure, which is so animal-like, I kinda got the ick. <br/><br/>But there was definitely some great dialogue tucked in here too. The first scene by the pool was really funny. Sera says that it takes a lot to anger her, and Nyktos replies, “I want you to repeat what you just said and ask yourself it that’s the truth.” Also:<br/><br/>“I didn’t think I’d ever…”<br/>“See me again,” I finished, and she nodded. “Because I was supposed to kill this one?” I added, jerking my thumb at Nyktos.<br/>“Nice,” Nyktos remarked dryly under his breath.<br/><br/>I think Nyktos and Sera’s chemistry is good, which is obviously very important for fantasy romance. <br/><br/>3 stars!!",TRUE,,1,0
22318499,"How to Be a Heroine: Or, What I've Learned from Reading Too Much",Samantha    Ellis,"Ellis, Samantha",,,9781101872093,4,3.72,Vintage,Paperback,264,2015,2014,1/2/23,11/16/22,books-abt-books,books-abt-books (#11),read,"“It struck me that being single would mean taking responsibility for enjoying myself, not waiting to be entertained, or trying to live my life by entertaining someone else.”<br/><br/>“How to Be a Heroine” is literary criticism (wait! don’t go!) with the author’s story/memoir dispersed throughout, and it was unexpectedly entertaining. I love buying books about books, but I rarely finish them. I flew through this one!<br/><br/>Ellis’ book is a reflection on all the literary heroines who have played pivotal roles in her development, from her childhood to her early 30s. She revisits each of these heroines, determining whether they should still be admired and their influence maintained, now from an older POV. <br/><br/>The first couple of chapters were a little less interesting to me, just because they covered children’s books and the author’s early life. I appreciated chapter 4 onwards much more, as the life advice produced from reflecting on her college and adult life is more applicable to me personally. Even though I haven’t read most of the books discussed by Ellis, I still very much enjoyed her analysis. She gives sufficient summaries of each novel introduced, so I never felt left out in the cold. And for those heroines who I am acquainted with (Jane Eyre, the Little Mermaid), it was a lot of fun to get to know them a little better. <br/><br/>",,,1,0
36373298,"Trail of Lightning (The Sixth World, #1)",Rebecca Roanhorse,"Roanhorse, Rebecca",,1534413499,9781534413498,3,3.96,Saga Press,Hardcover,287,2018,2018,12/23/22,12/11/22,,,read,3.5,,,1,0
44084762,"Our Violent Ends (These Violent Delights, #2)",Chloe Gong,"Gong, Chloe",,1529344565,9781529344561,4,4.4,Hodder & Stoughton,Hardcover,494,2021,2021,12/18/22,12/18/22,,,read,,,,1,0
42941939,Spinning Silver,Naomi Novik,"Novik, Naomi",,1509899049,9781509899043,3,4.21,Pan,Paperback,480,2019,2018,12/13/22,12/11/22,,,read,,,,1,0
35656812,All Passion Spent (Vintage Classics),Vita Sackville-West,"Sackville-West, Vita",,,,4,3.98,Vintage,Kindle Edition,178,2017,1931,12/9/22,12/4/22,,,read,,,,1,0
